date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:32	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Nov%202025%2006:36:34%20GMT	https://www.nexusmentalhealth.com/robots.txt		(from )
16:34:33	107102/107102	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Nov%202025%2006:34:08%20GMT	https://www.nexusmentalhealth.com/	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/index.html	(from )
16:34:33	382/382	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Nov%202025%2013:23:05%20GMT	https://www.nexusmentalhealth.com/node/1	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/node/1	(from https://www.nexusmentalhealth.com/)
16:34:34	267570/267570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/2024-01/hero_home_desktop.jpg	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/2024-01/hero_home_desktop.jpg	(from https://www.nexusmentalhealth.com/)
16:34:34	25886/25886	---M-Z	200	added ('OK')	application/javascript	etag:0x8DE2586DDA5F050	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.nexusmentalhealth.com/)
16:34:35	208596/208596	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c35f40756b6f31ec48a528e3b8cd9596:1744411404.294886%22	http://assets.adobedtm.com/3f0d2e2dbd42/4020afc76329/launch-9f3a8c3caa57.min.js	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/assets.adobedtm.com/3f0d2e2dbd42/4020afc76329/launch-9f3a8c3caa57.min.js	(from https://www.nexusmentalhealth.com/)
16:34:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Nov%202025%2011:04:35%20GMT	http://unpkg.com/tabbable/dist/index.umd.js	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/unpkg.com/tabbable/dist/index.umd.56.delayed	(from https://www.nexusmentalhealth.com/)
16:34:36	5653/5653	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2007%20May%202025%2006:21:46%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/themes/site/themes/custom/theme_nexus/favicon.ico	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/themes/site/themes/custom/theme_nexus/favicon.ico	(from https://www.nexusmentalhealth.com/)
16:34:36	1532/1532	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:14%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc.css?t5hzjk	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc.52ad8.del	(from https://www.nexusmentalhealth.com/)
16:34:36	1470/1470	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx0.css?t5hzjk	C:/Users/YQ864SU/Downloads/nexusmentalhealth/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx0.62ad8.del	(from https://www.nexusmentalhealth.com/)
